Timestamp,Platform,Hours_played,Which type of games do you enjoy playing the MOST? ,How often do you play games?,Addiction_level,how do you feel gaming is affects your Academics.,By what method do you download games.,Do you Play games with friends,Do you participate in competitive or esports gaming?,"How often do you purchase in-game items (e.g., skins, battle passes, currency)?",What time of day do you primarily game?,Why do you play games?,Sleep_impact,Answer these questions on the scale of 1-5 on how gaming affects these aspects. [stress reduction],Have you ever made friends online.
04-01-2026 22:19,Mobile (Smartphone/Tablet),1–2 hrs,Online Multiplayer Games,Daily,3,No effect,play only free games,yes,"No, I only play non-competitive modes",Never,Late Night (9 PM - 2 AM),Entertainment,1(very positive),3,No
04-01-2026 22:25,"PC (Desktop/Laptop), Console (PlayStation, Xbox, Nintendo), Mobile (Smartphone/Tablet)",1–2 hrs,"Online Multiplayer Games, Single Player story based games",Daily,4,Positively,play only free games,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Stress relief,4,1(very positive),yes
04-01-2026 22:28,Mobile (Smartphone/Tablet),<1 hr,Single Player story based games,Rarely,1,No effect,play only free games,No,"No, I only play non-competitive modes",Occasionally (Every few months),Evening (5 PM - 9 PM),Entertainment,4,3,No
04-01-2026 22:29,Mobile (Smartphone/Tablet),<1 hr,Single Player story based games,Occationally,1,No effect,play only free games,yes,"No, I prefer single-player games",Never,Evening (5 PM - 9 PM),Entertainment,1(very positive),2,No
04-01-2026 22:36,Mobile (Smartphone/Tablet),1–2 hrs,Online Multiplayer Games,Weekly,1,No effect,play only free games,yes,"Yes, as a serious competitor",Never,Afternoon (12 PM - 5 PM),Entertainment,1(very positive),3,yes
04-01-2026 22:49,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",2–4 hrs,"Online Multiplayer Games, Single Player story based games",Daily,4,Negatively,Pirate it,yes,"No, I prefer single-player games",Never,Afternoon (12 PM - 5 PM),Entertainment,1(very positive),4,No
04-01-2026 22:50,"Console (PlayStation, Xbox, Nintendo)",4+ hrs,Online Multiplayer Games,Daily,1,No effect,Buy it,yes,"Yes, as a serious competitor",Weekly or more often,Morning (Before 12 PM),Stress relief,1(very positive),1(very positive),yes
04-01-2026 23:00,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",2–4 hrs,"Online Multiplayer Games, Single Player story based games",Daily,4,Negatively,play only free games,yes,"Yes, as a serious competitor",Rarely (1-2 times a year),Late Night (9 PM - 2 AM),Stress relief,4,2,yes
04-01-2026 23:07,Mobile (Smartphone/Tablet),<1 hr,Offline mobile games,Rarely,1,No effect,play only free games,No,"No, I only play non-competitive modes",Never,Late Night (9 PM - 2 AM),Entertainment,5(very negative),4,No
04-01-2026 23:20,Mobile (Smartphone/Tablet),<1 hr,Offline mobile games,Occationally,4,No effect,play only free games,No,"No, I only play non-competitive modes",Never,Afternoon (12 PM - 5 PM),Entertainment,2,3,No
04-01-2026 23:56,Mobile (Smartphone/Tablet),1–2 hrs,Online Multiplayer Games,Daily,4,Negatively,play only free games,yes,"No, I only play non-competitive modes",Never,Morning (Before 12 PM),Entertainment,3,1(very positive),yes
04-02-2026 00:36,Mobile (Smartphone/Tablet),4+ hrs,Online Multiplayer Games,Daily,5,Positively,play only free games,yes,"Yes, casually (playing ranked modes)",Occasionally (Every few months),Late Night (9 PM - 2 AM),Entertainment,4,4,yes
04-02-2026 01:02,Mobile (Smartphone/Tablet),2–4 hrs,Online Multiplayer Games,Daily,3,No effect,play only free games,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Entertainment,2,4,yes
04-02-2026 02:02,Mobile (Smartphone/Tablet),4+ hrs,Online Multiplayer Games,Daily,4,Negatively,play only free games,yes,"Yes, as a serious competitor",Monthly,Late Night (9 PM - 2 AM),Competition,5(very negative),3,yes
04-02-2026 07:11,Mobile (Smartphone/Tablet),<1 hr,Offline mobile games,Weekly,1,No effect,play only free games,No,"No, I prefer single-player games",Never,Evening (5 PM - 9 PM),Entertainment,3,2,No
04-02-2026 07:35,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",1–2 hrs,"Online Multiplayer Games, Single Player story based games, Offline mobile games",Occationally,3,Negatively,play only free games,yes,"Yes, casually (playing ranked modes)",Occasionally (Every few months),Late Night (9 PM - 2 AM),Stress relief,3,2,yes
04-02-2026 07:37,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",1–2 hrs,"Online Multiplayer Games, Single Player story based games",Daily,3,No effect,Pirate it,yes,"Yes, casually (playing ranked modes)",Never,Evening (5 PM - 9 PM),Entertainment,4,2,No
04-02-2026 09:50,Mobile (Smartphone/Tablet),4+ hrs,Online Multiplayer Games,Daily,5,Positively,play only free games,yes,"Yes, casually (playing ranked modes)",Weekly or more often,Late Night (9 PM - 2 AM),Stress relief,5(very negative),1(very positive),No
04-02-2026 10:46,Mobile (Smartphone/Tablet),1–2 hrs,Online Multiplayer Games,Daily,2,Negatively,play only free games,yes,"No, I only play non-competitive modes",Never,Late Night (9 PM - 2 AM),Socializing,3,2,yes
04-02-2026 12:38,PC (Desktop/Laptop),1–2 hrs,Online Multiplayer Games,Daily,2,Positively,Pirate it,yes,"Yes, as a serious competitor",Rarely (1-2 times a year),Late Night (9 PM - 2 AM),Competition,1(very positive),1(very positive),yes
